Product Name,Image URL,Product URL,price,Ratings,No: of Responses,country
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in/https://www.amazon.com/s/ref=sxin_pb?srs=17602470011&rh=n%3A17602470011&k=file&i=aps&pd_rd_w=03SOO&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_wg=qM3qo&qid=1562238075,6.,4.4 out of 5 stars,"1,634",United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in/https://www.amazon.com/s/ref=sxin_pb?srs=17602470011&rh=n%3A17602470011&k=file&i=aps&pd_rd_w=03SOO&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_wg=qM3qo&qid=1562238075,9.,4.4 out of 5 stars,"1,634",United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in/https://www.amazon.com/s/ref=sxin_pb?srs=17602470011&rh=n%3A17602470011&k=file&i=aps&pd_rd_w=03SOO&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_wg=qM3qo&qid=1562238075,14.,4.4 out of 5 stars,"1,634",United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in/https://www.amazon.com/s/ref=sxin_pb?srs=17602470011&rh=n%3A17602470011&k=file&i=aps&pd_rd_w=03SOO&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_wg=qM3qo&qid=1562238075,8.,4.4 out of 5 stars,"1,634",United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in/https://www.amazon.com/s/ref=sxin_pb?srs=17602470011&rh=n%3A17602470011&k=file&i=aps&pd_rd_w=03SOO&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_wg=qM3qo&qid=1562238075,36.,4.4 out of 5 stars,"1,634",United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in/https://www.amazon.com/s/ref=sxin_pb?srs=17602470011&rh=n%3A17602470011&k=file&i=aps&pd_rd_w=03SOO&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_wg=qM3qo&qid=1562238075,39.,4.4 out of 5 stars,"1,634",United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL436_.jpg,https://www.amazon.in//AmazonBasics-Expanding-File-Letter-Size/dp/B01B25NN64/ref=ice_ac_b_dpb?keywords=file&pd_rd_i=B01B25NN64&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_w=03SOO&pd_rd_wg=qM3qo&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&qid=1562238075&s=gateway,6.,4.4 out of 5 stars,"1,634",United States
AmazonBasics Hanging Organizer File Folders - Letter Size (25 Pack) - Assorted Colors - AMZ101,https://m.media-amazon.com/images/I/91Gph1pFN4L._AC_UL436_.jpg,https://www.amazon.in//AmazonBasics-Hanging-File-Folders-Assorted/dp/B00V5DGA14/ref=sxin_3_pb?keywords=file&pd_rd_i=B00V5DGA14&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_w=03SOO&pd_rd_wg=qM3qo&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&qid=1562238075&s=gateway,9.,4.7 out of 5 stars,"1,172",United States
AmazonBasics AMZ401  File Folders - Letter Size (100 Pack) – Assorted Colors,https://m.media-amazon.com/images/I/81HLgVOZ1nL._AC_UL436_.jpg,https://www.amazon.in//gp/bestsellers/office-products/705333011/ref=sr_bs_2_705333011_1,14.,4.6 out of 5 stars,598,United States
"AmazonBasics Hanging Organizer File Folders - Letter Size, Green, 25-Pack - AMZ100",https://m.media-amazon.com/images/I/91BEmCzs1ZL._AC_UL436_.jpg,https://www.amazon.in//gp/bestsellers/office-products/1069616/ref=sr_bs_3_1069616_1,8.,4.6 out of 5 stars,"1,886",United States
