PlayStation 4 Slim 1TB Console,https://m.media-amazon.com/images/I/71PGvPXpk5L._AC_UY218_QL90_.jpg,http://amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2/ref=sr_1_1?keywords=ps4&qid=1564133434&s=gateway&sr=8-1,4.6 out of 5 stars,"1,833",294.,United States,,"['84', '2']",2
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],https://m.media-amazon.com/images/I/711xGPcLL2L._AC_UY218_QL90_.jpg,http://amazon.com/PlayStation-Slim-1TB-Console-Spider-Man-4/dp/B07HHW8C4V/ref=sr_1_2?keywords=ps4&qid=1564133434&s=gateway&sr=8-2,4.7 out of 5 stars,496,319.,United States,,"['292', '4']",2
Playstation 4 Slim 1TB Limited Edition Console - Days of Play Bundle,https://m.media-amazon.com/images/I/71RnNPpcU7L._AC_UY218_QL90_.jpg,http://amazon.com/Playstation-Slim-1TB-Limited-Console/dp/B07RXWP9KF/ref=sr_1_3?keywords=ps4&qid=1564133434&s=gateway&sr=8-3,4.1 out of 5 stars,24,299.,United States,,"['356', '7']",2
PlayStation 4 Pro 1TB Console,https://m.media-amazon.com/images/I/41GGPRqTZtL._AC_UL320_.jpg,http://amazon.com/PlayStation-4-Pro-1TB-Console/dp/B01LOP8EZC/ref=sxin_3_osp17-92196859_cov?ascsubtag=92196859-a0a7-4a0f-8e51-86065ec1eac5&creativeASIN=B01LOP8EZC&cv_ct_id=amzn1.osp.92196859-a0a7-4a0f-8e51-86065ec1eac5&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=ps4&linkCode=oas&pd_rd_i=B01LOP8EZC&pd_rd_r=c248ea09-59af-410b-a000-97d9de68f35c&pd_rd_w=OeW8Q&pd_rd_wg=t13Sl&pf_rd_p=43ba9e17-96f5-4491-b054-e546013f7dc4&pf_rd_r=3CYKC2YVGHK0PHNN3YAR&qid=1564133434&s=gateway&tag=digitaltren0b-20,4.5 out of 5 stars,"2,088",349.,United States,Our Pick,"['71', '1']",2
Xbox One X 1TB Console (Discontinued),https://m.media-amazon.com/images/I/61ux1cU49XL._AC_UL320_.jpg,http://amazon.com/Xbox-One-X-1TB-Console/dp/B074WPGYRF/ref=sxin_3_osp17-92196859_cov?ascsubtag=92196859-a0a7-4a0f-8e51-86065ec1eac5&creativeASIN=B074WPGYRF&cv_ct_id=amzn1.osp.92196859-a0a7-4a0f-8e51-86065ec1eac5&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=ps4&linkCode=oas&pd_rd_i=B074WPGYRF&pd_rd_r=c248ea09-59af-410b-a000-97d9de68f35c&pd_rd_w=OeW8Q&pd_rd_wg=t13Sl&pf_rd_p=43ba9e17-96f5-4491-b054-e546013f7dc4&pf_rd_r=3CYKC2YVGHK0PHNN3YAR&qid=1564133434&s=gateway&tag=digitaltren0b-20,4.1 out of 5 stars,"1,284",365.,United States,Also Great,"['233', '4']",2
Nintendo Switch – Neon Red and Neon Blue Joy-Con,https://m.media-amazon.com/images/I/71ivrWiYkLL._AC_UL320_.jpg,http://amazon.com/Nintendo-Switch-Neon-Red-Blue-Joy/dp/B01MUAGZ49/ref=sxin_3_osp17-92196859_cov?ascsubtag=92196859-a0a7-4a0f-8e51-86065ec1eac5&creativeASIN=B01MUAGZ49&cv_ct_id=amzn1.osp.92196859-a0a7-4a0f-8e51-86065ec1eac5&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=ps4&linkCode=oas&pd_rd_i=B01MUAGZ49&pd_rd_r=c248ea09-59af-410b-a000-97d9de68f35c&pd_rd_w=OeW8Q&pd_rd_wg=t13Sl&pf_rd_p=43ba9e17-96f5-4491-b054-e546013f7dc4&pf_rd_r=3CYKC2YVGHK0PHNN3YAR&qid=1564133434&s=gateway&tag=digitaltren0b-20,4.5 out of 5 stars,"7,068",297.,United States,Also Great,"['34', '1', '5']",3
"SNES Nintendo Classic Mini: Super Nintendo Entertainment System (Europe), Not Region Locked",https://m.media-amazon.com/images/I/81dKE5hBovL._AC_UL320_.jpg,http://amazon.com/SNES-Nintendo-Classic-Mini-Entertainment-System/dp/B073BVHY3F/ref=sxin_3_osp17-92196859_cov?ascsubtag=92196859-a0a7-4a0f-8e51-86065ec1eac5&creativeASIN=B073BVHY3F&cv_ct_id=amzn1.osp.92196859-a0a7-4a0f-8e51-86065ec1eac5&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=ps4&linkCode=oas&pd_rd_i=B073BVHY3F&pd_rd_r=c248ea09-59af-410b-a000-97d9de68f35c&pd_rd_w=OeW8Q&pd_rd_wg=t13Sl&pf_rd_p=43ba9e17-96f5-4491-b054-e546013f7dc4&pf_rd_r=3CYKC2YVGHK0PHNN3YAR&qid=1564133434&s=gateway&tag=digitaltren0b-20,4.6 out of 5 stars,361,110.,United States,Also Great,"['669', '1']",2
PlayStation 4 Pro 1TB Console,https://m.media-amazon.com/images/I/41GGPRqTZtL._AC_UY218_QL90_.jpg,http://amazon.com/PlayStation-4-Pro-1TB-Console/dp/B01LOP8EZC/ref=sr_1_4?keywords=ps4&qid=1564133434&s=gateway&sr=8-4,4.5 out of 5 stars,"2,088",349.,United States,Best Seller ,"['71', '1']",2
Sony PlayStation 4 Pro 1TB White (PS4),https://m.media-amazon.com/images/I/71NyRR72fWL._AC_UY218_QL90_.jpg,http://amazon.com/Sony-PlayStation-Pro-1TB-White-4/dp/B07MLWLYCN/ref=sr_1_6?keywords=ps4&qid=1564133434&s=gateway&sr=8-6,4.1 out of 5 stars,9,346.,United States,,"['2,155', '13']",2
PlayStation 4 Slim 1TB Limited Edition Console - Days of Play Bundle [Discontinued],https://m.media-amazon.com/images/I/61U-a2hz2TL._AC_UY218_QL90_.jpg,http://amazon.com/PlayStation-Slim-1TB-Limited-Console-4/dp/B07DMC3M42/ref=sr_1_7?keywords=ps4&qid=1564133434&s=gateway&sr=8-7,4.7 out of 5 stars,221,385.,United States,,"['2,306', '14']",2
