Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
Spider-Man inspired Ps4 Web Shooters (Pair),https://i.etsystatic.com/13661206/d/il/7bb638/1879018197/il_340x270.1879018197_tq0s.jpg?version=0,https://www.etsy.com/in-en/listing/677901825/spider-man-inspired-ps4-web-shooters?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-1&organic_search_click=1&bes=1,4.7778,9,46.57,United States
Sony PS4 2/4/8tb Hard Drive PS4 Games & DLCs USB Ready US/EU,https://i.etsystatic.com/18602306/d/il/fea8cd/1855852931/il_340x270.1855852931_4t1v.jpg?version=0,https://www.etsy.com/in-en/listing/689809365/sony-ps4-248tb-hard-drive-ps4-games-dlcs?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-2&organic_search_click=1,4.75,20,199.99,United States
Custom PlayStation 4 Controller with LED color changing buttons - 7 colors (Wood) - PS4 Controller Includes LIFETIME GUARANTEE!,https://i.etsystatic.com/16979236/c/2048/1626/0/387/il/8a08e2/1729176448/il_340x270.1729176448_3gz8.jpg,https://www.etsy.com/in-en/listing/670679091/custom-playstation-4-controller-with-led?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-3&organic_search_click=1&bes=1,4.9016,67,138.99,United States
Custom PlayStation 4 Controller with Hydrographic Design - PS4 controller includes LIFETIME WARRANTY!,https://i.etsystatic.com/16979236/c/2048/1627/0/280/il/b03cdd/2000966777/il_340x270.2000966777_p4c5.jpg,https://www.etsy.com/in-en/listing/710024476/custom-playstation-4-controller-with?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-4&organic_search_click=1,4.9,66,99.99,United States
"Nike sneaker box PS4 Playstation 4 Skin Vinyl Decal Sticker protector. Sneakerhead, Jordan sneakers, Jumpman 23, Game console skins, Gamers",https://i.etsystatic.com/15716461/c/1600/1270/0/20/il/f8cf75/1353227502/il_340x270.1353227502_s77p.jpg,https://www.etsy.com/in-en/listing/558739196/nike-sneaker-box-ps4-playstation-4-skin?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-5&organic_search_click=1,4.975,55,14.99,United States
REVISED* PlayStation / PS4 video game logo sign accessory 3d printed 8in! videogame,https://i.etsystatic.com/18880016/d/il/730faf/1995874321/il_340x270.1995874321_13rw.jpg?version=0,https://www.etsy.com/in-en/listing/701317903/revised-playstation-ps4-video-game-logo?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-6&organic_search_click=1&bes=1,5,41,10,United States
PS4 Thumbstick Replacements,https://i.etsystatic.com/18257105/c/600/476/0/70/il/591083/1628516583/il_340x270.1628516583_a8bc.jpg,https://www.etsy.com/in-en/listing/709974492/ps4-thumbstick-replacements?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-7&organic_search_click=1&frs=1,4.8462,13,19.41,United States
Risers for Better Airflow and Roach Prevention that fit Playstation 4 (PS4) and PS4 Slim,https://i.etsystatic.com/12413379/d/il/55b51e/933031209/il_340x270.933031209_al37.jpg?version=0,https://www.etsy.com/in-en/listing/270782166/risers-for-better-airflow-and-roach?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-8&organic_search_click=1&col=1,4.9333,1192,9.99,United States
New Sony Playstation Dualshock PS4 Wireless Controller Custom Chameleon Design,https://i.etsystatic.com/13083580/d/il/32e082/1372131294/il_340x270.1372131294_svpz.jpg?version=0,https://www.etsy.com/in-en/listing/537249543/new-sony-playstation-dualshock-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-9&organic_search_click=1,4.9383,258,74.99,United States
Spider-Man PS4 Webshooters,https://i.etsystatic.com/19602494/c/2027/1609/187/732/il/a53a70/1839304575/il_340x270.1839304575_pos2.jpg,https://www.etsy.com/in-en/listing/683897645/spider-man-ps4-webshooters?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-1-10&organic_search_click=1&bes=1&col=1,4.9167,12,35,United States
