Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
Sony Dualshock 4 V2 Wireless Controller Bluetooth  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-v2-wireless-controller-bluetooth-gamepad/p/itmff7cjcp3w3mjh?pid=ACCFF65ZRHMP6V6H&lid=LSTACCFF65ZRHMP6V6HVDZSRB&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=f3a3ade9-ef31-48f4-8883-8baf9fe0854b.ACCFF65ZRHMP6V6H.SEARCH&qH=0e740342f31e9aa6,4.1,16,"₹3,850",India
"Sony PlayStation 4 (PS4) Slim 500 GB with Uncharted 4, Horizon Zero Dawn (Complete Edition) and Gran Turismo Sport",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-500-gb-uncharted-4-horizon-zero-dawn-complete-edition-gran-turismo-sport/p/itmf3actbwbufhes?pid=GMCF3ACTPGJHF5ZY&lid=LSTGMCF3ACTPGJHF5ZYM3AICN&marketplace=FLIPKART&spotlightTagId=TrendingId_4rr&srno=s_1_2&otracker=search&fm=organic&iid=1d06678d-e793-4387-a97c-a088a9238676.GMCF3ACTPGJHF5ZY.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹27,490",India
Sony PlayStation 4 (PS4) Slim 500 GB,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-500-gb/p/itmequgdmkx3h7vh?pid=GMCEQUG7DZJASSH7&lid=LSTGMCEQUG7DZJASSH7KWD7ME&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=f76b3dd8-8c35-45f8-b08e-474a5321c465.GMCEQUG7DZJASSH7.SEARCH&qH=0e740342f31e9aa6,4.5,767,"₹23,899",India
Sony PS3 Eye Camera,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps3-eye-camera/p/itmczbu4xgahhgfw?pid=ACCCZ34EZDHPBS9K&lid=LSTACCCZ34EZDHPBS9K8UF1SM&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=ece4d84a-0dd4-4c26-a555-a3f4237d4bda.ACCCZ34EZDHPBS9K.SEARCH&qH=0e740342f31e9aa6,4.1,145,₹799,India
Sony Dualshock 4 Wireless Controller for Playstation 4 - Black V2(USB Cable)  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-playstation-black-v2-usb-cable-gamepad/p/itmewhzqsycaz7kz?pid=ACCEWHZQWXZKRTWC&lid=LSTACCEWHZQWXZKRTWCJTK8PE&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=94244bd2-b08f-4f1a-8cbb-ecbe43d7326e.ACCEWHZQWXZKRTWC.SEARCH&qH=0e740342f31e9aa6,4.1,162,"₹3,999",India
Sony DualShock 4 Wireless Controller V2  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-v2-gamepad/p/itmf5yzxca4zfpbg?pid=ACCEWSKKCYPXH3U5&lid=LSTACCEWSKKCYPXH3U5BSMNDP&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=370a9a71-7176-4b09-9f8b-0ca1c4f0a1fc.ACCEWSKKCYPXH3U5.SEARCH&qH=0e740342f31e9aa6,4.4,119,"₹4,199",India
Sony PS4 V2 DUALSHOCK 4 WIRELESS  Motion Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-v2-dualshock-4-wireless-motion-controller/p/itmezbww6pckkhss?pid=ACCEZYBEEGPNPAZJ&lid=LSTACCEZYBEEGPNPAZJHCBF5A&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=e909857a-dff5-4b04-b278-12275c9c3a64.ACCEZYBEEGPNPAZJ.SEARCH&qH=0e740342f31e9aa6,4.4,"1,120","₹4,210",India
Sony Ps4 Slim Console With Extra Dual shock Controller 1TB GB with FIFA 19,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-slim-console-extra-dual-shock-controller-1tb-gb-fifa-19/p/itmf9ktgrzv3zaay?pid=GMCF9JQRDNQGFGHU&lid=LSTGMCF9JQRDNQGFGHUX01FPM&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=ac098f1b-29f3-40df-8b60-51613dfd8c52.GMCF9JQRDNQGFGHU.SEARCH&qH=0e740342f31e9aa6,4.5,35,"₹30,990",India
Sony DualShock 4 Wireless Controller V2  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-v2-gamepad/p/itmf5yzxca4zfpbg?pid=ACCEUKMENDEKGUQ3&lid=LSTACCEUKMENDEKGUQ3SAZSLD&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=df846d7d-aa19-46db-a7d7-acb8d45a202f.ACCEUKMENDEKGUQ3.SEARCH&qH=0e740342f31e9aa6,4.4,175,"₹4,499",India
Sony PlayStation 4 (PS4) Slim 1 TB with Red Dead Redemption 2,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-red-dead-redemption-2/p/itmfabhs4zetjyjs?pid=GMCFABHSCAQQDJ6T&lid=LSTGMCFABHSCAQQDJ6TBOQJEE&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=1a6d8efa-75d8-4ab2-8e24-36c7246ab0cf.GMCFABHSCAQQDJ6T.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹31,330",India
"Sony PS4 Slim 1 TB with Grand Theft Auto V, The Last of Us and Uncharted Collection (Limited Edition)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-slim-1-tb-grand-theft-auto-v-last-uncharted-collection-limited-edition/p/itmewf8zhw3mpg7j?pid=GMCEWF8ZPSATMHHB&lid=LSTGMCEWF8ZPSATMHHBVOESPL&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=4ea99232-3ea2-4faa-9815-02437ded8e0b.GMCEWF8ZPSATMHHB.SEARCH&qH=0e740342f31e9aa6,4.6,670,"₹29,999",India
Sony PlayStation 4 (PS4) Pro 1 TB,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-pro-1-tb/p/itmequgdg6ny3u7w?pid=GMCEQUGDRMDGYFQQ&lid=LSTGMCEQUGDRMDGYFQQIUOHND&marketplace=FLIPKART&spotlightTagId=TrendingId_4rr&srno=s_1_12&otracker=search&fm=organic&iid=da2a9c32-1536-41dc-81df-cf77efc6eb0b.GMCEQUGDRMDGYFQQ.SEARCH&qH=0e740342f31e9aa6,4.4,"1,466","₹35,200",India
Sony PlayStation 4 (PS4) 500 GB with FIFA 19 (Champions Edition) BUNDLE,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-500-gb-fifa-19-champions-edition-bundle/p/itmfbzahhdqfymg2?pid=GMCFBN99BCGQTFQH&lid=LSTGMCFBN99BCGQTFQHAYEAP4&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=68fe699b-b3e6-4524-8c1b-2749409ce502.GMCFBN99BCGQTFQH.SEARCH&qH=0e740342f31e9aa6,4.2,5,"₹25,499",India
Sony PlayStation 4 (PS4) Slim 1 TB with The Last of Us and Uncharted Collection,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-last-uncharted-collection/p/itmequgdh6gjhzvp?pid=GMCEQUGDJ9RDYGHZ&lid=LSTGMCEQUGDJ9RDYGHZ738CI4&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=2d3c4afa-d059-4cc1-ab0c-9abdfa2e090d.GMCEQUGDJ9RDYGHZ.SEARCH&qH=0e740342f31e9aa6,4.6,"1,040","₹27,900",India
Sony PlayStation 4 1 TB with The Last of Us,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-1-tb-last/p/itmf5q3xf4uguz8y?pid=GMCF5Q3X7BJGNH7C&lid=LSTGMCF5Q3X7BJGNH7CO1MLJF&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=f90ffa99-8dc5-4f49-baed-09678ec237df.GMCF5Q3X7BJGNH7C.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹32,290",India
Sony DualShock 4 Wireless Controller V2  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-v2-gamepad/p/itmf5yzxca4zfpbg?pid=ACCEUGP3SZAMHHFH&lid=LSTACCEUGP3SZAMHHFHVIJTMB&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=8cb55c4a-4f5b-4c61-946f-cb367675d0be.ACCEUGP3SZAMHHFH.SEARCH&qH=0e740342f31e9aa6,4.5,"1,116","₹3,899",India
Sony Ps4 Pro with Extra Controller One TB GB with Fifa 18,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-pro-extra-controller-one-tb-gb-fifa-18/p/itmfynhgtykxmcyb?pid=GMCFYNHGCXZ8FY4D&lid=LSTGMCFYNHGCXZ8FY4DBTAO6Y&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=7081767c-76d6-472e-8153-dff4bda6cec5.GMCFYNHGCXZ8FY4D.SEARCH&qH=0e740342f31e9aa6,4.4,15,"₹39,990",India
Sony PS4 V2 DUALSHOCK 4 WIRELESS  Motion Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-v2-dualshock-4-wireless-motion-controller/p/itmezbww6pckkhss?pid=ACCEZBWWYSGZP2BP&lid=LSTACCEZBWWYSGZP2BPAOMNXB&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=c7f53e54-f3ff-4ce5-9cda-a5230790d9c2.ACCEZBWWYSGZP2BP.SEARCH&qH=0e740342f31e9aa6,4.4,"1,120","₹3,750",India
Sony PlayStation 4 (PS4) 1 TB with FIFA 19,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-1-tb-fifa-19/p/itmf9c2hsbhpcjdg?pid=GMCF9C2HCWGHZWNG&lid=LSTGMCF9C2HCWGHZWNGXUD9A3&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=b5fcc88c-70c2-48eb-bacc-c679dcea1801.GMCF9C2HCWGHZWNG.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹28,990",India
